n,rt_qs,rt_ms,c_qs,c_ms
100,20,82,612,316
100,19,177,586,316
100,19,92,648,316
100,17,78,630,316
100,17,80,658,316
100,19,80,656,316
100,17,80,672,316
100,20,77,704,316
100,18,78,609,316
100,17,93,549,316
100,19,86,685,316
100,18,97,583,316
100,19,82,631,316
100,15,78,699,316
100,15,75,794,316
100,14,80,617,316
100,14,77,585,316
100,17,88,611,316
100,35,83,830,316
100,28,88,684,316
100,26,80,646,316
100,19,89,676,316
100,19,114,682,316
100,19,93,611,316
100,17,88,636,316
100,19,90,630,316
100,16,92,599,316
100,19,90,687,316
100,18,123,741,316
100,18,85,671,316
100,21,94,696,316
100,17,84,609,316
100,18,94,619,316
100,19,93,660,316
100,22,97,717,316
100,20,93,592,316
100,18,85,605,316
100,16,76,611,316
100,17,89,667,316
100,20,91,736,316
100,24,88,590,316
100,18,90,592,316
100,19,118,678,316
100,19,91,575,316
100,19,88,719,316
100,19,82,614,316
100,16,89,707,316
100,15,74,658,316
100,19,79,747,316
100,19,87,631,316
100,17,74,655,316
100,33,123,700,316
100,19,92,728,316
100,20,119,721,316
100,18,89,611,316
100,18,92,624,316
100,19,74,708,316
100,18,75,651,316
100,18,80,635,316
100,14,77,605,316
100,15,77,602,316
100,22,94,566,316
100,13,76,594,316
100,14,79,633,316
100,17,86,699,316
100,15,75,680,316
100,14,76,683,316
100,20,94,583,316
100,17,87,583,316
100,16,81,609,316
100,20,94,594,316
100,15,76,727,316
100,15,78,610,316
100,15,81,667,316
100,21,96,653,316
100,15,78,709,316
100,17,92,660,316
100,18,92,607,316
100,20,95,773,316
100,15,78,584,316
100,16,78,624,316
100,20,100,701,316
100,21,81,708,316
100,17,78,584,316
100,17,76,624,316
100,19,97,682,316
100,16,76,676,316
100,15,76,616,316
100,15,73,683,316
100,21,81,652,316
100,18,81,715,316
100,18,81,627,316
100,17,76,777,316
100,15,77,641,316
100,18,76,748,316
100,19,78,587,316
100,15,77,703,316
100,18,79,594,316
100,19,82,691,316
100,14,74,648,316
100,19,82,864,316
100,18,95,626,316
100,15,74,626,316
100,14,78,576,316
100,13,74,595,316
100,18,80,700,316
100,19,79,636,316
100,15,74,615,316
100,14,79,676,316
100,15,76,693,316
100,18,75,615,316
100,14,75,623,316
100,15,74,690,316
100,16,77,682,316
100,13,74,747,316
100,14,78,570,316
100,15,72,653,316
100,17,83,661,316
100,17,74,659,316
100,19,75,750,316
100,15,77,558,316
100,15,77,649,316
100,18,76,681,316
100,17,93,642,316
100,18,81,631,316
100,14,74,667,316
100,15,77,588,316
100,19,92,672,316
100,19,94,673,316
100,15,75,709,316
100,19,89,791,316
100,14,74,597,316
100,15,78,648,316
100,15,81,621,316
100,18,76,617,316
100,15,80,642,316
100,15,73,692,316
100,17,85,667,316
100,15,73,629,316
100,15,74,700,316
100,14,76,669,316
100,18,87,594,316
100,15,76,707,316
100,17,83,789,316
100,14,75,603,316
100,14,73,583,316
100,15,72,655,316
100,14,72,724,316
100,16,75,657,316
100,14,75,598,316
100,18,80,631,316
100,20,104,634,316
100,17,93,647,316
100,14,82,574,316
100,19,87,688,316
100,15,75,700,316
100,19,81,627,316
100,17,86,627,316
100,14,75,598,316
100,13,73,639,316
100,13,74,602,316
100,15,78,674,316
100,14,75,622,316
100,15,80,661,316
100,14,74,592,316
100,15,75,585,316
100,18,77,779,316
100,15,75,615,316
100,15,75,584,316
100,20,80,757,316
100,15,75,613,316
100,15,73,664,316
