n,max_load,rounds,
1000,3,3276,
1000,3,3274,
1000,3,3272,
1000,3,3270,
1000,3,3268,
1000,3,3266,
1000,3,3264,
1000,3,3262,
1000,3,3260,
1000,3,3258,
1000,3,3256,
1000,3,3254,
1000,3,3252,
1000,3,3250,
1000,3,3248,
1000,3,3246,
1000,3,3244,
1000,3,3242,
1000,3,3240,
1000,3,3238,
1000,3,3236,
1000,3,3234,
1000,3,3232,
1000,3,3230,
1000,3,3228,
1000,3,3226,
1000,3,3224,
1000,3,3222,
1000,3,3220,
1000,3,3218,
1000,3,3216,
1000,3,3214,
1000,3,3212,
1000,3,3210,
1000,3,3208,
1000,3,3206,
1000,3,3204,
1000,3,3202,
1000,3,3200,
1000,3,3198,
1000,3,3196,
1000,3,3194,
1000,3,3192,
1000,3,3190,
1000,3,3188,
1000,3,3186,
1000,3,3184,
1000,3,3182,
1000,3,3180,
1000,3,3178,
1000,3,3176,
1000,3,3174,
1000,3,3172,
1000,3,3170,
1000,3,3168,
1000,3,3166,
1000,3,3164,
1000,3,3162,
1000,3,3160,
1000,3,3158,
1000,3,3156,
1000,3,3154,
1000,3,3152,
1000,3,3150,
1000,3,3148,
1000,3,3146,
1000,3,3144,
1000,4,3142,
1000,3,3140,
1000,3,3138,
1000,3,3136,
1000,3,3134,
1000,3,3132,
1000,3,3130,
1000,3,3128,
1000,3,3126,
1000,3,3124,
1000,3,3122,
1000,3,3120,
1000,3,3118,
1000,3,3116,
1000,3,3114,
1000,3,3112,
1000,3,3110,
1000,3,3108,
1000,3,3106,
1000,3,3104,
1000,3,3102,
1000,3,3100,
1000,3,3098,
1000,3,3096,
1000,3,3094,
1000,3,3092,
1000,3,3090,
1000,3,3088,
1000,3,3086,
1000,3,3084,
1000,3,3082,
1000,3,3080,
1000,3,3078,
1000,3,3076,
1000,3,3074,
1000,3,3072,
1000,3,3070,
1000,3,3068,
1000,3,3066,
1000,3,3064,
1000,3,3062,
1000,3,3060,
1000,3,3058,
1000,3,3056,
1000,3,3054,
1000,3,3052,
1000,3,3050,
1000,3,3048,
1000,3,3046,
1000,3,3044,
1000,3,3042,
1000,3,3040,
1000,3,3038,
1000,3,3036,
1000,3,3034,
1000,3,3032,
1000,3,3030,
1000,3,3028,
1000,3,3026,
1000,3,3024,
1000,3,3022,
1000,3,3020,
1000,3,3018,
1000,3,3016,
1000,3,3014,
1000,3,3012,
1000,3,3010,
1000,3,3008,
